Wort,Schwierigkeit,Thema,Lernstatus,Beispielsatz
zerreißen,mittel,Meine Hose ist kaputt,neu,-,
die Wolle,mittel,Meine Hose ist kaputt,neu,-,
der Stoff,mittel,Meine Hose ist kaputt,neu,-,
das Leder,mittel,Meine Hose ist kaputt,neu,-,
flauschig,mittel,Meine Hose ist kaputt,neu,-,
auswaschen,mittel,Meine Hose ist kaputt,neu,-,
das Waschmittel,mittel,Meine Hose ist kaputt,neu,-,
das Waschpulver,mittel,Meine Hose ist kaputt,neu,-,
der Wäschekorb,mittel,Meine Hose ist kaputt,neu,-,
der Wäscheständer,mittel,Meine Hose ist kaputt,neu,-,
die Wäscheleine,mittel,Meine Hose ist kaputt,neu,-,
aufhängen,mittel,Meine Hose ist kaputt,neu,-,
abnehmen,mittel,Meine Hose ist kaputt,neu,-,
bügeln,mittel,Meine Hose ist kaputt,neu,-,
das Bügeleisen,mittel,Meine Hose ist kaputt,neu,-,
der Schneider,schwer,Meine Hose ist kaputt,neu,-,
die Nähmaschine,schwer,Meine Hose ist kaputt,neu,-,
mit der Hand,schwer,Meine Hose ist kaputt,neu,-,
ändern,schwer,Meine Hose ist kaputt,neu,-,
der Flicken,schwer,Meine Hose ist kaputt,neu,-,
die Naht,schwer,Meine Hose ist kaputt,neu,-,
ist aus ...,schwer,Meine Hose ist kaputt,neu,-,
die Baumwolle,schwer,Meine Hose ist kaputt,neu,-,
das Muster,schwer,Meine Hose ist kaputt,neu,-,
die Länge,schwer,Meine Hose ist kaputt,neu,-,
stricken,schwer,Meine Hose ist kaputt,neu,-,
die Stricknadel,schwer,Meine Hose ist kaputt,neu,-,
die Wäsche,schwer,Meine Hose ist kaputt,neu,-,
die Wäscheklammer,schwer,Meine Hose ist kaputt,neu,-,
der Wäschetrockner,schwer,Meine Hose ist kaputt,neu,-,
zusammenlegen,schwer,Meine Hose ist kaputt,neu,-,
der Kleiderbügel,schwer,Meine Hose ist kaputt,neu,-,
die Mode,schwer,Meine Hose ist kaputt,neu,-,
die Modenschau,schwer,Meine Hose ist kaputt,neu,-,
das Zimmer,leicht,Mein Zimmer,neu,-,
das Bett,leicht,Mein Zimmer,neu,-,
das Kissen,leicht,Mein Zimmer,neu,-,
der Schrank,leicht,Mein Zimmer,neu,-,
das Regal,leicht,Mein Zimmer,neu,-,
die Spielsachen,leicht,Mein Zimmer,neu,-,
haben,leicht,Mein Zimmer,neu,-,
das Bilderbuch,leicht,Mein Zimmer,neu,-,
das Mobile,leicht,Mein Zimmer,neu,-,
die Spieluhr,leicht,Mein Zimmer,neu,-,
die Lampe,leicht,Mein Zimmer,neu,-,
anmachen,leicht,Mein Zimmer,neu,-,
ausmachen,leicht,Mein Zimmer,neu,-,
das Kopfkissen,mittel,Mein Zimmer,neu,-,
die Bettdecke,mittel,Mein Zimmer,neu,-,
gemütlich,mittel,Mein Zimmer,neu,-,
ruhig,mittel,Mein Zimmer,neu,-,
der Spielteppich,mittel,Mein Zimmer,neu,-,
ordentlich,mittel,Mein Zimmer,neu,-,
aufräumen,mittel,Mein Zimmer,neu,-,
wegstellen,mittel,Mein Zimmer,neu,-,
weglegen,mittel,Mein Zimmer,neu,-,
weghängen,mittel,Mein Zimmer,neu,-,
der Kleiderschrank,mittel,Mein Zimmer,neu,-,
der Schreibtisch,mittel,Mein Zimmer,neu,-,
die Spielzeugkiste,mittel,Mein Zimmer,neu,-,
der Raum,schwer,Mein Zimmer,neu,-,
das Hochbett,schwer,Mein Zimmer,neu,-,
das Etagenbett,schwer,Mein Zimmer,neu,-,
die Matratze,schwer,Mein Zimmer,neu,-,
der Bettbezug,schwer,Mein Zimmer,neu,-,
die Ordnung,schwer,Mein Zimmer,neu,-,
unordentlich,schwer,Mein Zimmer,neu,-,
aufbewahren,schwer,Mein Zimmer,neu,-,
die Leselampe,schwer,Mein Zimmer,neu,-,
das Poster,schwer,Mein Zimmer,neu,-,
das Fensterbrett,schwer,Mein Zimmer,neu,-,
die Fensterscheibe,schwer,Mein Zimmer,neu,-,
das Fensterbild,schwer,Mein Zimmer,neu,-,
lüften,schwer,Mein Zimmer,neu,-,
die Heizung,schwer,Mein Zimmer,neu,-,
heizen,schwer,Mein Zimmer,neu,-,
aufdrehen,schwer,Mein Zimmer,neu,-,
zudrehen,schwer,Mein Zimmer,neu,-,
wohnen,leicht,Unser Haus,neu,-,
die Küche,leicht,Unser Haus,neu,-,
das Bad,leicht,Unser Haus,neu,-,
der Flur,leicht,Unser Haus,neu,-,
der Keller,leicht,Unser Haus,neu,-,
der Balkon,leicht,Unser Haus,neu,-,
die Tür,leicht,Unser Haus,neu,-,
der Schlüssel,leicht,Unser Haus,neu,-,
klingeln,leicht,Unser Haus,neu,-,
das Fenster,leicht,Unser Haus,neu,-,
die Treppe,leicht,Unser Haus,neu,-,
die Mülltonne,leicht,Unser Haus,neu,-,
schmeißen,leicht,Unser Haus,neu,-,
die Wohnung,mittel,Unser Haus,neu,-,
die Haustür,mittel,Unser Haus,neu,-,
das Wohnzimmer,mittel,Unser Haus,neu,-,
das Schlafzimmer,mittel,Unser Haus,neu,-,
das Kinderzimmer,mittel,Unser Haus,neu,-,
das Badezimmer,mittel,Unser Haus,neu,-,
die Kammer,mittel,Unser Haus,neu,-,
der Fahrstuhl,mittel,Unser Haus,neu,-,
das Treppenhaus,mittel,Unser Haus,neu,-,
die Stufe,mittel,Unser Haus,neu,-,
der Briefkasten,mittel,Unser Haus,neu,-,
die Klingel,mittel,Unser Haus,neu,-,
der Hof,mittel,Unser Haus,neu,-,
die Garage,mittel,Unser Haus,neu,-,
die Adresse,schwer,Unser Haus,neu,-,
die Hausnummer,schwer,Unser Haus,neu,-,
das Erdgeschoss,schwer,Unser Haus,neu,-,
im ersten Stock,schwer,Unser Haus,neu,-,
das Hochhaus,schwer,Unser Haus,neu,-,
der Altbau,schwer,Unser Haus,neu,-,
der Neubau,schwer,Unser Haus,neu,-,
das Reihenhaus,schwer,Unser Haus,neu,-,
mieten,schwer,Unser Haus,neu,-,
die Diele,schwer,Unser Haus,neu,-,
die Terrasse,schwer,Unser Haus,neu,-,
der Dachboden,schwer,Unser Haus,neu,-,
das Schloss,schwer,Unser Haus,neu,-,
aufschließen,schwer,Unser Haus,neu,-,
abschließen,schwer,Unser Haus,neu,-,
der Aufzug,schwer,Unser Haus,neu,-,
die Rücksicht,schwer,Unser Haus,neu,-,
einziehen,schwer,Unser Haus,neu,-,
der Umzug,schwer,Unser Haus,neu,-,
der Herd,leicht,In Küche und Bad,neu,-,
der Kühlschrank,leicht,In Küche und Bad,neu,-,
der Mülleimer,leicht,In Küche und Bad,neu,-,
das Waschbecken,leicht,In Küche und Bad,neu,-,
der Wasserhahn,leicht,In Küche und Bad,neu,-,
der Spiegel,leicht,In Küche und Bad,neu,-,
der Haken,leicht,In Küche und Bad,neu,-,
der Besen,leicht,In Küche und Bad,neu,-,
fegen,leicht,In Küche und Bad,neu,-,
der Küchenschrank,mittel,In Küche und Bad,neu,-,
der Küchentisch,mittel,In Küche und Bad,neu,-,
der Brotkorb,mittel,In Küche und Bad,neu,-,
die Spüle,mittel,In Küche und Bad,neu,-,
das Spülmittel,mittel,In Küche und Bad,neu,-,
abspülen,mittel,In Küche und Bad,neu,-,
die Kühltruhe,mittel,In Küche und Bad,neu,-,
die Mülltüte,mittel,In Küche und Bad,neu,-,
der Abfall,mittel,In Küche und Bad,neu,-,
das Rollo,mittel,In Küche und Bad,neu,-,
die Fliese,mittel,In Küche und Bad,neu,-,
der Staubsauger,mittel,In Küche und Bad,neu,-,
Staub saugen,mittel,In Küche und Bad,neu,-,
sauber machen,mittel,In Küche und Bad,neu,-,
wischen,mittel,In Küche und Bad,neu,-,
die Herdplatte,schwer,In Küche und Bad,neu,-,
der Backofen,schwer,In Küche und Bad,neu,-,
die Geschirrspülmaschine,schwer,In Küche und Bad,neu,-,
der Toaster,schwer,In Küche und Bad,neu,-,
der Wasserkocher,schwer,In Küche und Bad,neu,-,
die Kaffeemaschine,schwer,In Küche und Bad,neu,-,
der Rollladen,schwer,In Küche und Bad,neu,-,
schließen,schwer,In Küche und Bad,neu,-,
die Garderobe,schwer,In Küche und Bad,neu,-,
der Besenschrank,schwer,In Küche und Bad,neu,-,
der Schrubber,schwer,In Küche und Bad,neu,-,
der Putzeimer,schwer,In Küche und Bad,neu,-,
der Putzlappen,schwer,In Küche und Bad,neu,-,
der Handfeger,schwer,In Küche und Bad,neu,-,
die Schaufel,schwer,In Küche und Bad,neu,-,
die Fußmatte,schwer,In Küche und Bad,neu,-,
abstreifen,schwer,In Küche und Bad,neu,-,
der Tisch,leicht,Im Wohnzimmer,neu,-,
der Stuhl,leicht,Im Wohnzimmer,neu,-,
das Sofa,leicht,Im Wohnzimmer,neu,-,
der Sessel,leicht,Im Wohnzimmer,neu,-,
der Teppich,leicht,Im Wohnzimmer,neu,-,
das Bild,leicht,Im Wohnzimmer,neu,-,
fernsehen,leicht,Im Wohnzimmer,neu,-,
das Telefon,leicht,Im Wohnzimmer,neu,-,
die Steckdose,leicht,Im Wohnzimmer,neu,-,
die Möbel,mittel,Im Wohnzimmer,neu,-,
die Wolldecke,mittel,Im Wohnzimmer,neu,-,
die Gardine,mittel,Im Wohnzimmer,neu,-,
die Vase,mittel,Im Wohnzimmer,neu,-,
der Blumenstrauß,mittel,Im Wohnzimmer,neu,-,
der Blumentopf,mittel,Im Wohnzimmer,neu,-,
der Papierkorb,mittel,Im Wohnzimmer,neu,-,
das Klavier,mittel,Im Wohnzimmer,neu,-,
die Musik,mittel,Im Wohnzimmer,neu,-,
der Fernseher,mittel,Im Wohnzimmer,neu,-,
der Film,mittel,Im Wohnzimmer,neu,-,
die DVD,mittel,Im Wohnzimmer,neu,-,
der DVD-Player,mittel,Im Wohnzimmer,neu,-,
die CD,mittel,Im Wohnzimmer,neu,-,
der CD-Player,mittel,Im Wohnzimmer,neu,-,
der Lichtschalter,mittel,Im Wohnzimmer,neu,-,
die Zimmertür,mittel,Im Wohnzimmer,neu,-,
die Klinke,mittel,Im Wohnzimmer,neu,-,
öffnen,mittel,Im Wohnzimmer,neu,-,
einrichten,schwer,Im Wohnzimmer,neu,-,
die Schrankwand,schwer,Im Wohnzimmer,neu,-,
das Bücherregal,schwer,Im Wohnzimmer,neu,-,
die Couch,schwer,Im Wohnzimmer,neu,-,
der Couchtisch,schwer,Im Wohnzimmer,neu,-,
der Esstisch,schwer,Im Wohnzimmer,neu,-,
die Kommode,schwer,Im Wohnzimmer,neu,-,
die Schublade,schwer,Im Wohnzimmer,neu,-,
einräumen,schwer,Im Wohnzimmer,neu,-,
die Blockflöte,schwer,Im Wohnzimmer,neu,-,
der Teppichboden,schwer,Im Wohnzimmer,neu,-,
die Tapete,schwer,Im Wohnzimmer,neu,-,
tapezieren,schwer,Im Wohnzimmer,neu,-,
der Kleister,schwer,Im Wohnzimmer,neu,-,
die Gardinenstange,schwer,Im Wohnzimmer,neu,-,
die Stereoanlage,schwer,Im Wohnzimmer,neu,-,
bauen,leicht,Ein Haus wird gebaut,neu,-,
baggern,leicht,Ein Haus wird gebaut,neu,-,
der Bagger,leicht,Ein Haus wird gebaut,neu,-,
der Baggerfahrer,leicht,Ein Haus wird gebaut,neu,-,
die Leiter,leicht,Ein Haus wird gebaut,neu,-,
der Kran,leicht,Ein Haus wird gebaut,neu,-,
die Wand,leicht,Ein Haus wird gebaut,neu,-,
der Boden,leicht,Ein Haus wird gebaut,neu,-,
das Dach,leicht,Ein Haus wird gebaut,neu,-,
der Hammer,leicht,Ein Haus wird gebaut,neu,-,
der Nagel,leicht,Ein Haus wird gebaut,neu,-,
das Holz,leicht,Ein Haus wird gebaut,neu,-,
der Stein,leicht,Ein Haus wird gebaut,neu,-,
der Bauarbeiter,mittel,Ein Haus wird gebaut,neu,-,
der Bau,mittel,Ein Haus wird gebaut,neu,-,
die Baustelle,mittel,Ein Haus wird gebaut,neu,-,
die Mauer,mittel,Ein Haus wird gebaut,neu,-,
hämmern,mittel,Ein Haus wird gebaut,neu,-,
das Rohr,mittel,Ein Haus wird gebaut,neu,-,
der Fußboden,mittel,Ein Haus wird gebaut,neu,-,
die Zimmerdecke,mittel,Ein Haus wird gebaut,neu,-,
anstreichen,mittel,Ein Haus wird gebaut,neu,-,
bohren,mittel,Ein Haus wird gebaut,neu,-,
der Bohrer,mittel,Ein Haus wird gebaut,neu,-,
sägen,mittel,Ein Haus wird gebaut,neu,-,
die Säge,mittel,Ein Haus wird gebaut,neu,-,
schrauben,mittel,Ein Haus wird gebaut,neu,-,
die Schraube,mittel,Ein Haus wird gebaut,neu,-,
mauern,schwer,Ein Haus wird gebaut,neu,-,
der Maurer,schwer,Ein Haus wird gebaut,neu,-,
die Etage,schwer,Ein Haus wird gebaut,neu,-,
der Handwerker,schwer,Ein Haus wird gebaut,neu,-,
der Elektriker,schwer,Ein Haus wird gebaut,neu,-,
die Stromleitung,schwer,Ein Haus wird gebaut,neu,-,
elektrisch,schwer,Ein Haus wird gebaut,neu,-,
verlegen,schwer,Ein Haus wird gebaut,neu,-,
der Klempner,schwer,Ein Haus wird gebaut,neu,-,
die Zange,schwer,Ein Haus wird gebaut,neu,-,
das Wasserrohr,schwer,Ein Haus wird gebaut,neu,-,
das Dach decken,schwer,Ein Haus wird gebaut,neu,-,
dicht,schwer,Ein Haus wird gebaut,neu,-,
der Schraubenzieher,schwer,Ein Haus wird gebaut,neu,-,
drehen,schwer,Ein Haus wird gebaut,neu,-,
der Beton,schwer,Ein Haus wird gebaut,neu,-,
der Betonmischer,schwer,Ein Haus wird gebaut,neu,-,
der Ziegelstein,schwer,Ein Haus wird gebaut,neu,-,
gerade,schwer,Ein Haus wird gebaut,neu,-,
schief,schwer,Ein Haus wird gebaut,neu,-,
krumm,schwer,Ein Haus wird gebaut,neu,-,
der Maler,schwer,Ein Haus wird gebaut,neu,-,
streichen,schwer,Ein Haus wird gebaut,neu,-,
der Sand,leicht,Auf dem Spielplatz,neu,-,
der Sandkasten,leicht,Auf dem Spielplatz,neu,-,
buddeln,leicht,Auf dem Spielplatz,neu,-,
der Eimer,leicht,Auf dem Spielplatz,neu,-,
das Förmchen,leicht,Auf dem Spielplatz,neu,-,
der Matsch,leicht,Auf dem Spielplatz,neu,-,
die Rutsche,leicht,Auf dem Spielplatz,neu,-,
rutschen,leicht,Auf dem Spielplatz,neu,-,
die Schaukel,leicht,Auf dem Spielplatz,neu,-,
schaukeln,leicht,Auf dem Spielplatz,neu,-,
anschubsen,leicht,Auf dem Spielplatz,neu,-,
die Wippe,leicht,Auf dem Spielplatz,neu,-,
wippen,leicht,Auf dem Spielplatz,neu,-,
schubsen,leicht,Auf dem Spielplatz,neu,-,
der Ball,leicht,Auf dem Spielplatz,neu,-,
fangen,leicht,Auf dem Spielplatz,neu,-,
werfen,leicht,Auf dem Spielplatz,neu,-,
rollen,leicht,Auf dem Spielplatz,neu,-,
verstecken,leicht,Auf dem Spielplatz,neu,-,
der Spielplatz,mittel,Auf dem Spielplatz,neu,-,
die Bank,mittel,Auf dem Spielplatz,neu,-,
zuschauen,mittel,Auf dem Spielplatz,neu,-,
die Pumpe,mittel,Auf dem Spielplatz,neu,-,
pumpen,mittel,Auf dem Spielplatz,neu,-,
sieben,mittel,Auf dem Spielplatz,neu,-,
das Klettergerüst,mittel,Auf dem Spielplatz,neu,-,
runterfallen,mittel,Auf dem Spielplatz,neu,-,
Fangen spielen,mittel,Auf dem Spielplatz,neu,-,
der Roller,mittel,Auf dem Spielplatz,neu,-,
das Laufrad,mittel,Auf dem Spielplatz,neu,-,
das Dreirad,mittel,Auf dem Spielplatz,neu,-,
die Kletterwand,schwer,Auf dem Spielplatz,neu,-,
die Hängebrücke,schwer,Auf dem Spielplatz,neu,-,
schwingen,schwer,Auf dem Spielplatz,neu,-,
der Holzbalken,schwer,Auf dem Spielplatz,neu,-,
balancieren,schwer,Auf dem Spielplatz,neu,-,
baumeln,schwer,Auf dem Spielplatz,neu,-,
umrennen,schwer,Auf dem Spielplatz,neu,-,
seilspringen,schwer,Auf dem Spielplatz,neu,-,
vorwärts,schwer,Auf dem Spielplatz,neu,-,
rückwärts,schwer,Auf dem Spielplatz,neu,-,
die Leute,leicht,In der Stadt,neu,-,
die Straße,leicht,In der Stadt,neu,-,
die Laterne,leicht,In der Stadt,neu,-,
leuchten,leicht,In der Stadt,neu,-,
die Kirche,leicht,In der Stadt,neu,-,
kennen,leicht,In der Stadt,neu,-,
die Stadt,mittel,In der Stadt,neu,-,
der Platz,mittel,In der Stadt,neu,-,
der Gehweg,mittel,In der Stadt,neu,-,
der Gully,mittel,In der Stadt,neu,-,
die Nachbarin,mittel,In der Stadt,neu,-,
treffen,mittel,In der Stadt,neu,-,
das Eiscafé,mittel,In der Stadt,neu,-,
das Kino,mittel,In der Stadt,neu,-,
die Bücherei,mittel,In der Stadt,neu,-,
der Kirchturm,mittel,In der Stadt,neu,-,
die Glocke,mittel,In der Stadt,neu,-,
läuten,mittel,In der Stadt,neu,-,
das Tor,mittel,In der Stadt,neu,-,
der Friedhof,mittel,In der Stadt,neu,-,
sterben,mittel,In der Stadt,neu,-,
das Grab,mittel,In der Stadt,neu,-,
neben,mittel,In der Stadt,neu,-,
das Denkmal,schwer,In der Stadt,neu,-,
der Springbrunnen,schwer,In der Stadt,neu,-,
der Straßenname,schwer,In der Stadt,neu,-,
der Stadtplan,schwer,In der Stadt,neu,-,
der Bürgersteig,schwer,In der Stadt,neu,-,
die Einfahrt,schwer,In der Stadt,neu,-,
der Vorgarten,schwer,In der Stadt,neu,-,
die Litfaßsäule,schwer,In der Stadt,neu,-,
die Reklame,schwer,In der Stadt,neu,-,
die Bibliothek,schwer,In der Stadt,neu,-,
das Restaurant,schwer,In der Stadt,neu,-,
das Lokal,schwer,In der Stadt,neu,-,
essen gehen,schwer,In der Stadt,neu,-,
der Kellner,schwer,In der Stadt,neu,-,
die Kneipe,schwer,In der Stadt,neu,-,
der Imbiss,schwer,In der Stadt,neu,-,
das Schaufenster,schwer,In der Stadt,neu,-,
bummeln,schwer,In der Stadt,neu,-,
die Telefonzelle,schwer,In der Stadt,neu,-,
das Parkhaus,schwer,In der Stadt,neu,-,
der Garten,leicht,In unserem Garten,neu,-,
das Gras,leicht,In unserem Garten,neu,-,
die Erde,leicht,In unserem Garten,neu,-,
graben,leicht,In unserem Garten,neu,-,
das Beet,leicht,In unserem Garten,neu,-,
gießen,leicht,In unserem Garten,neu,-,
die Erdbeere,leicht,In unserem Garten,neu,-,
pflücken,leicht,In unserem Garten,neu,-,
die Nuss,leicht,In unserem Garten,neu,-,
der Kern,leicht,In unserem Garten,neu,-,
der Obstbaum,mittel,In unserem Garten,neu,-,
das Baumhaus,mittel,In unserem Garten,neu,-,
der Apfelbaum,mittel,In unserem Garten,neu,-,
der Kirschbaum,mittel,In unserem Garten,neu,-,
schütteln,mittel,In unserem Garten,neu,-,
die Gießkanne,mittel,In unserem Garten,neu,-,
die Regentonne,mittel,In unserem Garten,neu,-,
der Gartenschlauch,mittel,In unserem Garten,neu,-,
der Strauch,mittel,In unserem Garten,neu,-,
die Johannisbeere,mittel,In unserem Garten,neu,-,
das Gemüsebeet,mittel,In unserem Garten,neu,-,
der Rhabarber,mittel,In unserem Garten,neu,-,
der Kohlrabi,mittel,In unserem Garten,neu,-,
das Radieschen,mittel,In unserem Garten,neu,-,
das Unkraut,mittel,In unserem Garten,neu,-,
die Brennnessel,mittel,In unserem Garten,neu,-,
die Blattlaus,mittel,In unserem Garten,neu,-,
die Schnecke,mittel,In unserem Garten,neu,-,
der Regenwurm,mittel,In unserem Garten,neu,-,
der Marienkäfer,mittel,In unserem Garten,neu,-,
der Zaun,mittel,In unserem Garten,neu,-,
braun,mittel,In unserem Garten,neu,-,
die Frucht,schwer,In unserem Garten,neu,-,
die Beere,schwer,In unserem Garten,neu,-,
der Nussbaum,schwer,In unserem Garten,neu,-,
der Haselnussstrauch,schwer,In unserem Garten,neu,-,
der Johannisbeerstrauch,schwer,In unserem Garten,neu,-,
die Erdbeerpflanze,schwer,In unserem Garten,neu,-,
pflanzen,schwer,In unserem Garten,neu,-,
reif,schwer,In unserem Garten,neu,-,
das Kräuterbeet,schwer,In unserem Garten,neu,-,
das Basilikum,schwer,In unserem Garten,neu,-,
die Petersilie,schwer,In unserem Garten,neu,-,
der Schnittlauch,schwer,In unserem Garten,neu,-,
der Kompost,schwer,In unserem Garten,neu,-,
der Schuppen,schwer,In unserem Garten,neu,-,
der Rasenmäher,schwer,In unserem Garten,neu,-,
der Spaten,schwer,In unserem Garten,neu,-,
umgraben,schwer,In unserem Garten,neu,-,
die Harke,schwer,In unserem Garten,neu,-,
jäten,schwer,In unserem Garten,neu,-,
der Park,leicht,Ein Nachmittag im Park,neu,-,
die Blume,leicht,Ein Nachmittag im Park,neu,-,
der Rasen,leicht,Ein Nachmittag im Park,neu,-,
die Kastanie,leicht,Ein Nachmittag im Park,neu,-,
das Blatt,leicht,Ein Nachmittag im Park,neu,-,
die Rose,leicht,Ein Nachmittag im Park,neu,-,
der Löwenzahn,leicht,Ein Nachmittag im Park,neu,-,
das Gänseblümchen,leicht,Ein Nachmittag im Park,neu,-,
der Stock,leicht,Ein Nachmittag im Park,neu,-,
das Picknick,leicht,Ein Nachmittag im Park,neu,-,
der Kletterbaum,mittel,Ein Nachmittag im Park,neu,-,
die Hecke,mittel,Ein Nachmittag im Park,neu,-,
der Schatten,mittel,Ein Nachmittag im Park,neu,-,
die Tulpe,mittel,Ein Nachmittag im Park,neu,-,
das Kleeblatt,mittel,Ein Nachmittag im Park,neu,-,
blühen,mittel,Ein Nachmittag im Park,neu,-,
die Blüten,mittel,Ein Nachmittag im Park,neu,-,
der Stiel,mittel,Ein Nachmittag im Park,neu,-,
der Stängel,mittel,Ein Nachmittag im Park,neu,-,
rosa,mittel,Ein Nachmittag im Park,neu,-,
violett,mittel,Ein Nachmittag im Park,neu,-,
orange,mittel,Ein Nachmittag im Park,neu,-,
die Hummel,mittel,Ein Nachmittag im Park,neu,-,
der Maulwurf,mittel,Ein Nachmittag im Park,neu,-,
die Liegewiese,schwer,Ein Nachmittag im Park,neu,-,
sich sonnen,schwer,Ein Nachmittag im Park,neu,-,
schattig,schwer,Ein Nachmittag im Park,neu,-,
der Parkweg,schwer,Ein Nachmittag im Park,neu,-,
schlendern,schwer,Ein Nachmittag im Park,neu,-,
die Rasenfläche,schwer,Ein Nachmittag im Park,neu,-,
die Frisbeescheibe,schwer,Ein Nachmittag im Park,neu,-,
der Goldfischteich,schwer,Ein Nachmittag im Park,neu,-,
die Pflanze,schwer,Ein Nachmittag im Park,neu,-,
die Birke,schwer,Ein Nachmittag im Park,neu,-,
die Baumkrone,schwer,Ein Nachmittag im Park,neu,-,
die Knospe,schwer,Ein Nachmittag im Park,neu,-,
der Flieder,schwer,Ein Nachmittag im Park,neu,-,
die Nelke,schwer,Ein Nachmittag im Park,neu,-,
die Narzisse,schwer,Ein Nachmittag im Park,neu,-,
verblühen,schwer,Ein Nachmittag im Park,neu,-,
verwelken,schwer,Ein Nachmittag im Park,neu,-,
die Gärtnerin,schwer,Ein Nachmittag im Park,neu,-,
der Rasensprenger,schwer,Ein Nachmittag im Park,neu,-,
die Schubkarre,schwer,Ein Nachmittag im Park,neu,-,
der Wald,leicht,Ein Spaziergang im Wald,neu,-,
der Baum,leicht,Ein Spaziergang im Wald,neu,-,
der Busch,leicht,Ein Spaziergang im Wald,neu,-,
der Pilz,leicht,Ein Spaziergang im Wald,neu,-,
giftig,leicht,Ein Spaziergang im Wald,neu,-,
der Ast,mittel,Ein Spaziergang im Wald,neu,-,
der Baumstamm,mittel,Ein Spaziergang im Wald,neu,-,
die Tanne,mittel,Ein Spaziergang im Wald,neu,-,
der Tannenzapfen,mittel,Ein Spaziergang im Wald,neu,-,
die Eiche,mittel,Ein Spaziergang im Wald,neu,-,
die Eichel,mittel,Ein Spaziergang im Wald,neu,-,
die Wurzel,mittel,Ein Spaziergang im Wald,neu,-,
der Zweig,mittel,Ein Spaziergang im Wald,neu,-,
die Rinde,mittel,Ein Spaziergang im Wald,neu,-,
das Laub,mittel,Ein Spaziergang im Wald,neu,-,
rascheln,mittel,Ein Spaziergang im Wald,neu,-,
knacken,mittel,Ein Spaziergang im Wald,neu,-,
knarren,mittel,Ein Spaziergang im Wald,neu,-,
die Blaubeere,mittel,Ein Spaziergang im Wald,neu,-,
die Brombeere,mittel,Ein Spaziergang im Wald,neu,-,
suchen,mittel,Ein Spaziergang im Wald,neu,-,
sammeln,mittel,Ein Spaziergang im Wald,neu,-,
das Moos,mittel,Ein Spaziergang im Wald,neu,-,
der Jäger,mittel,Ein Spaziergang im Wald,neu,-,
jagen,mittel,Ein Spaziergang im Wald,neu,-,
das Gebüsch,schwer,Ein Spaziergang im Wald,neu,-,
finster,schwer,Ein Spaziergang im Wald,neu,-,
der Laubbaum,schwer,Ein Spaziergang im Wald,neu,-,
die Buche,schwer,Ein Spaziergang im Wald,neu,-,
der Nadelbaum,schwer,Ein Spaziergang im Wald,neu,-,
die Kiefer,schwer,Ein Spaziergang im Wald,neu,-,
das Harz,schwer,Ein Spaziergang im Wald,neu,-,
der Farn,schwer,Ein Spaziergang im Wald,neu,-,
der Steinpilz,schwer,Ein Spaziergang im Wald,neu,-,
essbar,schwer,Ein Spaziergang im Wald,neu,-,
der Fliegenpilz,schwer,Ein Spaziergang im Wald,neu,-,
der Futterplatz,schwer,Ein Spaziergang im Wald,neu,-,
der Förster,schwer,Ein Spaziergang im Wald,neu,-,
der Waldarbeiter,schwer,Ein Spaziergang im Wald,neu,-,
die Axt,schwer,Ein Spaziergang im Wald,neu,-,
die Motorsäge,schwer,Ein Spaziergang im Wald,neu,-,
fällen,schwer,Ein Spaziergang im Wald,neu,-,
der Baumstumpf,schwer,Ein Spaziergang im Wald,neu,-,
morsch,schwer,Ein Spaziergang im Wald,neu,-,
vermodern,schwer,Ein Spaziergang im Wald,neu,-,
der Waldbrand,schwer,Ein Spaziergang im Wald,neu,-,
kahl,schwer,Ein Spaziergang im Wald,neu,-,
der Bauernhof,leicht,Auf dem Bauernhof,neu,-,
die Bäuerin,leicht,Auf dem Bauernhof,neu,-,
die Wiese,leicht,Auf dem Bauernhof,neu,-,
die Kuh,leicht,Auf dem Bauernhof,neu,-,
der Stall,leicht,Auf dem Bauernhof,neu,-,
die Scheune,leicht,Auf dem Bauernhof,neu,-,
der Misthaufen,leicht,Auf dem Bauernhof,neu,-,
der Hahn,leicht,Auf dem Bauernhof,neu,-,
das Huhn,leicht,Auf dem Bauernhof,neu,-,
die Ente,leicht,Auf dem Bauernhof,neu,-,
die Katze,leicht,Auf dem Bauernhof,neu,-,
der Traktor,leicht,Auf dem Bauernhof,neu,-,
der Anhänger,leicht,Auf dem Bauernhof,neu,-,
die Sonnenblume,leicht,Auf dem Bauernhof,neu,-,
das Dorf,mittel,Auf dem Bauernhof,neu,-,
das Feld,mittel,Auf dem Bauernhof,neu,-,
der Feldweg,mittel,Auf dem Bauernhof,neu,-,
die Weide,mittel,Auf dem Bauernhof,neu,-,
der Acker,mittel,Auf dem Bauernhof,neu,-,
die Vogelscheuche,mittel,Auf dem Bauernhof,neu,-,
verscheuchen,mittel,Auf dem Bauernhof,neu,-,
der Graben,mittel,Auf dem Bauernhof,neu,-,
der Ententeich,mittel,Auf dem Bauernhof,neu,-,
das Küken,mittel,Auf dem Bauernhof,neu,-,
der Hühnerstall,mittel,Auf dem Bauernhof,neu,-,
der Mist,mittel,Auf dem Bauernhof,neu,-,
das Korn,mittel,Auf dem Bauernhof,neu,-,
säen,mittel,Auf dem Bauernhof,neu,-,
ernten,mittel,Auf dem Bauernhof,neu,-,
